user_id,event_name,event_timestamp
1,registration_completed,2026-07-05
2,registration_completed,2026-05-11
2,kyc_started,2026-05-12
2,kyc_completed,2026-05-13
3,registration_completed,2026-06-02
4,registration_completed,2026-05-29
4,kyc_started,2026-05-30
5,registration_completed,2026-07-14
6,registration_completed,2026-07-08
6,kyc_started,2026-07-09
6,kyc_completed,2026-07-10
6,bank_account_linked,2026-07-11
6,first_deposit,2026-07-12
6,first_transaction,2026-07-13
7,registration_completed,2026-07-28
7,kyc_started,2026-07-29
7,kyc_completed,2026-07-30
8,registration_completed,2026-05-16
8,kyc_started,2026-05-17
8,kyc_completed,2026-05-18
9,registration_completed,2026-06-15
9,kyc_started,2026-06-16
9,kyc_completed,2026-06-17
9,bank_account_linked,2026-06-18
9,first_deposit,2026-06-19
9,first_transaction,2026-06-20
10,registration_completed,2026-05-11
10,kyc_started,2026-05-12
10,kyc_completed,2026-05-13
10,bank_account_linked,2026-05-14
10,first_deposit,2026-05-15
10,first_transaction,2026-05-16
11,registration_completed,2026-05-28
11,kyc_started,2026-05-29
11,kyc_completed,2026-05-30
11,bank_account_linked,2026-05-31
11,first_deposit,2026-06-01
11,first_transaction,2026-06-02
12,registration_completed,2026-06-23
12,kyc_started,2026-06-24
13,registration_completed,2026-05-11
13,kyc_started,2026-05-12
13,kyc_completed,2026-05-13
14,registration_completed,2026-05-26
14,kyc_started,2026-05-27
15,registration_completed,2026-07-06
15,kyc_started,2026-07-07
15,kyc_completed,2026-07-08
15,bank_account_linked,2026-07-09
15,first_deposit,2026-07-10
15,first_transaction,2026-07-11
16,registration_completed,2026-06-27
16,kyc_started,2026-06-28
16,kyc_completed,2026-06-29
16,bank_account_linked,2026-06-30
16,first_deposit,2026-07-01
16,first_transaction,2026-07-02
17,registration_completed,2026-05-28
17,kyc_started,2026-05-29
17,kyc_completed,2026-05-30
17,bank_account_linked,2026-05-31
17,first_deposit,2026-06-01
17,first_transaction,2026-06-02
18,registration_completed,2026-07-01
18,kyc_started,2026-07-02
18,kyc_completed,2026-07-03
19,registration_completed,2026-07-20
